"SSID","Security","Encryption","Password","ConnectionMode","RadioType","InterfaceType","AuthMethod","SpeedTestResult"
"_The Cloud","_The Cloud","_The Cloud","None","_The Cloud","_The Cloud","N/A","N/A","200"
"MAC ADDRESS","Password Protected","CCMP",,,,,,"200"
"MAC ADDRESS","Password Protected","CCMP",,,,,,"200"
"MAC ADDRESS","Password Protected","CCMP",,,,,,"200"
"MAC ADDRESS","Password Protected","CCMP",,,,,,"200"
"MAC ADDRESS","Password Protected","CCMP",,,,,,"200"
"MAC ADDRESS","Open","None",,,,,,"200"
"MAC ADDRESS","Password Protected","CCMP",,,,,,"200"
"AndroidAP1939","AndroidAP1939","AndroidAP1939","AndroidAP1939","AndroidAP1939","AndroidAP1939","N/A","N/A","200"
"AndroidAP5FEA","AndroidAP5FEA","AndroidAP5FEA","AndroidAP5FEA","AndroidAP5FEA","AndroidAP5FEA","N/A","N/A","200"
"Boots free WiFi","Boots free WiFi","Boots free WiFi","None","Boots free WiFi","Boots free WiFi","N/A","N/A","200"
"MAC ADDRESS","Password Protected","CCMP",,,,,,"200"
"DirectSave-0638C2","DirectSave-0638C2","DirectSave-0638C2","DirectSave-0638C2","DirectSave-0638C2","DirectSave-0638C2","N/A","N/A","200"
"DirectSave-0638C2 2","DirectSave-0638C2 2","DirectSave-0638C2 2","DirectSave-0638C2 2","DirectSave-0638C2 2","DirectSave-0638C2 2","N/A","N/A","200"
"MAC ADDRESS","Password Protected","CCMP",,,,,,"200"
"MAC ADDRESS","Password Protected","CCMP",,,,,,"200"
"MAC ADDRESS","Open","None",,,,,,"200"
"EE-Hub-rQ9u","EE-Hub-rQ9u","EE-Hub-rQ9u","EE-Hub-rQ9u","EE-Hub-rQ9u","EE-Hub-rQ9u","N/A","N/A","200"
"MAC ADDRESS","Password Protected","CCMP",,,,,,"200"
"FRITZ!Box 7490","FRITZ!Box 7490","FRITZ!Box 7490","FRITZ!Box 7490","FRITZ!Box 7490","FRITZ!Box 7490","N/A","N/A","200"
"Hotspot","Hotspot","Hotspot","Hotspot","Hotspot","Hotspot","N/A","N/A","200"
"iPhone","iPhone","iPhone","iPhone","iPhone","iPhone","N/A","N/A","200"
"SKY4E4MH","SKY4E4MH","SKY4E4MH","SKY4E4MH","SKY4E4MH","SKY4E4MH","N/A","N/A","200"
"SKYEFEI1","SKYEFEI1","SKYEFEI1","SKYEFEI1","SKYEFEI1","SKYEFEI1","N/A","N/A","200"
"SKYVZBEU","SKYVZBEU","SKYVZBEU","SKYVZBEU","SKYVZBEU","SKYVZBEU","N/A","N/A","200"
"Sophie's Phone","Sophie's Phone","Sophie's Phone","Sophie's Phone","Sophie's Phone","Sophie's Phone","N/A","N/A","200"
"SSE Broadband 5EE440","SSE Broadband 5EE440","SSE Broadband 5EE440","SSE Broadband 5EE440","SSE Broadband 5EE440","SSE Broadband 5EE440","N/A","N/A","200"
"Three_E68D24","Three_E68D24","Three_E68D24","Three_E68D24","Three_E68D24","Three_E68D24","N/A","N/A","200"
"TNCAP256733","TNCAP256733","TNCAP256733","TNCAP256733","TNCAP256733","TNCAP256733","N/A","N/A","200"
"TNCAP256773","TNCAP256773","TNCAP256773","TNCAP256773","TNCAP256773","TNCAP256773","N/A","N/A","200"
"VM4913012","VM4913012","VM4913012","VM4913012","VM4913012","VM4913012","N/A","N/A","200"
"vodafone1767","vodafone1767","vodafone1767","vodafone1767","vodafone1767","vodafone1767","N/A","N/A","200"
"westwood","westwood","westwood","westwood","westwood","westwood","N/A","N/A","200"
